Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:31:42
Elapsed Time,00:03:04:999
Samples,61381

--Statistics--
Minimum [W],1.9326E-05
Maximum [W],0.00052581
Mean [W],0.00016518
Standard Deviation [W],0.00015673
Ratio,27.207 : 1

--Graph Data--
Time (ms),Power (W)
2694.845,3.7896E-05
2698.155,3.47E-05
2701.150,3.2284E-05
2704.166,3.0364E-05
2707.150,2.8754E-05
2710.221,2.7403E-05
2713.148,2.6288E-05
2716.146,2.5359E-05
2719.150,2.4616E-05
2722.144,8.937E-05
2725.149,0.00019336
2728.153,0.0002753
2731.493,0.00034579
2734.465,0.00039633
2737.491,0.00043761
2740.464,0.00047137
2743.465,0.00049912
2746.461,0.00045174
2749.457,0.00036169
2752.487,0.00029492
2755.459,0.00024344
2758.461,0.00020215
2761.476,0.00016832
2764.870,0.00013837
2767.896,0.00011707
2771.156,9.8339E-05
2774.152,8.4737E-05
2777.152,7.3637E-05
2780.159,6.4457E-05
2783.136,5.6888E-05
2786.153,5.0656E-05
2789.154,4.5466E-05
2792.153,4.1216E-05
2795.124,3.7686E-05
2798.154,3.4811E-05
2801.156,3.2359E-05
2804.128,3.0426E-05
2807.167,2.8816E-05
2810.155,2.7403E-05
2813.152,2.6288E-05
2816.155,2.5409E-05
2819.156,2.4616E-05
2822.152,5.7631E-05
2825.154,0.00016965
2828.130,0.0002566
2831.475,0.0003313
2834.473,0.00038457
2837.470,0.00042795
2840.468,0.00046346
2843.469,0.00049264
2846.467,0.00047969
2849.467,0.00038144
2852.470,0.0003098
2855.475,0.00025508
2858.468,0.00021166
2861.459,0.00017609
2864.868,0.00014446
2867.869,0.0001219
2870.869,0.00010384
2873.867,8.9296E-05
2876.869,7.7353E-05
2879.787,6.748E-05
2882.868,5.9353E-05
2885.780,5.2725E-05
2888.781,4.7163E-05
2891.870,4.2579E-05
2894.846,3.8825E-05
2898.132,3.5443E-05
2901.128,3.2867E-05
2904.126,3.0785E-05
2907.129,2.91E-05
2910.131,2.7663E-05
2913.126,2.6511E-05
2916.124,2.5607E-05
2919.128,2.4727E-05
2922.121,2.5979E-05
2925.122,0.00014519
2928.105,0.00023721
2931.443,0.00031638
2934.440,0.00037245
2937.437,0.00041811
2940.437,0.00045539
2943.450,0.00048595
2946.440,0.00051112
2949.437,0.00048747
2952.439,0.00038792
2955.438,0.00031527
2958.470,0.00025957
2961.440,0.00021545
2964.439,0.0001794
2967.441,0.00015009
2970.439,0.0001264
2973.453,0.00010756
2976.776,9.0857E-05
2979.775,7.8617E-05
2982.776,6.8545E-05
2985.774,6.0319E-05
2988.776,5.3468E-05
2991.789,4.7782E-05
2994.760,4.3149E-05
2997.774,3.9296E-05
3000.792,3.6038E-05
3003.778,3.3474E-05
3006.775,3.1343E-05
3009.777,2.9472E-05
3012.792,2.7961E-05
3016.096,2.6685E-05
3019.090,2.5656E-05
3022.088,2.4802E-05
3025.127,3.2705E-05
3028.084,0.00015209
3031.446,0.00025142
3034.443,0.00032056
3037.448,0.00037585
3040.441,0.00042085
3043.444,0.00045768
3046.441,0.00048786
3049.446,0.0005014
3052.413,0.00039608
3055.420,0.0003209
3058.441,0.00026363
3061.413,0.00021849
3064.755,0.0001781
3067.753,0.00014896
3070.754,0.00012543
3073.784,0.00010676
3076.753,9.1687E-05
3079.764,7.9249E-05
3082.755,6.9065E-05
3085.753,6.0691E-05
3088.756,5.3753E-05
3091.750,4.8005E-05
3094.731,4.331E-05
3097.756,3.9432E-05
3100.757,3.6149E-05
3103.757,3.3548E-05
3106.753,3.1392E-05
3109.758,2.9484E-05
3112.755,2.8035E-05
3115.753,2.6809E-05
3118.758,2.5768E-05
3121.757,2.4913E-05
3124.753,2.4294E-05
3127.785,0.00011355
3131.111,0.00022184
3134.099,0.00029732
3137.100,0.00035712
3140.074,0.00040551
3143.080,0.0004451
3146.121,0.00047755
3149.112,0.00050418
3152.083,0.00042984
3155.106,0.00034585
3158.106,0.00028279
3161.081,0.00023381
3164.081,0.00019435
3167.088,0.00016208
3170.109,0.00013596
3173.111,0.00011515
3176.083,9.85E-05
3179.119,8.4861E-05
3182.100,7.3711E-05
3185.110,6.4469E-05
3188.074,5.6925E-05
3191.081,5.0557E-05
3194.079,4.5453E-05
3197.074,4.1192E-05
3200.101,3.7599E-05
3203.075,3.4737E-05
3206.077,3.2309E-05
3209.079,3.0339E-05
3212.028,2.8654E-05
3215.079,2.7378E-05
3218.078,2.6239E-05
3221.077,2.5297E-05
3224.075,2.4566E-05
